"beaCode","beaName","substance","unit","impFactor","dtlLvl","impactCategory","impactUnits","gwpVersion","gwp"
"334418","Printed circuit and electronic assembly","carbon dioxide","kg/2018 USD, purchaser price",0.088,"detail","GHG emissions","kg CO2e","IPCC AR4 20",1
"334418","Printed circuit and electronic assembly","carbon dioxide","kg/2018 USD, purchaser price",0.088,"detail","GHG emissions","kg CO2e","IPCC AR5 100",1
"334418","Printed circuit and electronic assembly","carbon dioxide","kg/2018 USD, purchaser price",0.088,"detail","GHG emissions","kg CO2e","IPCC AR5 20",1
"334418","Printed circuit and electronic assembly","methane","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR4 100",25
"334418","Printed circuit and electronic assembly","methane","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR4 20",72
"334418","Printed circuit and electronic assembly","methane","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR5 100",28
"334418","Printed circuit and electronic assembly","methane","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR5 20",84
"334418","Printed circuit and electronic assembly","nitrous oxide","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR4 100",298
"334418","Printed circuit and electronic assembly","nitrous oxide","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR4 20",289
"334418","Printed circuit and electronic assembly","nitrous oxide","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR5 100",265
"334418","Printed circuit and electronic assembly","nitrous oxide","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR5 20",264
"334418","Printed circuit and electronic assembly","other GHGs","kg CO2e/2018 USD, purchaser price",0.012,"detail","GHG emissions","kg CO2e","IPCC AR4 100",1
"334418","Printed circuit and electronic assembly","other GHGs","kg CO2e/2018 USD, purchaser price",0.012,"detail","GHG emissions","kg CO2e","IPCC AR4 20",2.35027717526513
"334418","Printed circuit and electronic assembly","other GHGs","kg CO2e/2018 USD, purchaser price",0.012,"detail","GHG emissions","kg CO2e","IPCC AR5 100",0.990927007256356
"334418","Printed circuit and electronic assembly","other GHGs","kg CO2e/2018 USD, purchaser price",0.012,"detail","GHG emissions","kg CO2e","IPCC AR5 20",2.39012373263774
"33441A","Electronic capacitors, resistors, coils, transformers, connectors and other components (except  semiconductors and printed circuit assemblies)","carbon dioxide","kg/2018 USD, purchaser price",0.081,"detail","GHG emissions","kg CO2e","IPCC AR4 100",1
"33441A","Electronic capacitors, resistors, coils, transformers, connectors and other components (except  semiconductors and printed circuit assemblies)","carbon dioxide","kg/2018 USD, purchaser price",0.081,"detail","GHG emissions","kg CO2e","IPCC AR4 20",1
"33441A","Electronic capacitors, resistors, coils, transformers, connectors and other components (except  semiconductors and printed circuit assemblies)","carbon dioxide","kg/2018 USD, purchaser price",0.081,"detail","GHG emissions","kg CO2e","IPCC AR5 100",1
"33441A","Electronic capacitors, resistors, coils, transformers, connectors and other components (except  semiconductors and printed circuit assemblies)","carbon dioxide","kg/2018 USD, purchaser price",0.081,"detail","GHG emissions","kg CO2e","IPCC AR5 20",1
"33441A","Electronic capacitors, resistors, coils, transformers, connectors and other components (except  semiconductors and printed circuit assemblies)","methane","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR4 100",25
"33441A","Electronic capacitors, resistors, coils, transformers, connectors and other components (except  semiconductors and printed circuit assemblies)","methane","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR4 20",72
"33441A","Electronic capacitors, resistors, coils, transformers, connectors and other components (except  semiconductors and printed circuit assemblies)","methane","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR5 100",28
"33441A","Electronic capacitors, resistors, coils, transformers, connectors and other components (except  semiconductors and printed circuit assemblies)","methane","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR5 20",84
"33441A","Electronic capacitors, resistors, coils, transformers, connectors and other components (except  semiconductors and printed circuit assemblies)","nitrous oxide","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR4 100",298
"33441A","Electronic capacitors, resistors, coils, transformers, connectors and other components (except  semiconductors and printed circuit assemblies)","nitrous oxide","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR4 20",289
"33441A","Electronic capacitors, resistors, coils, transformers, connectors and other components (except  semiconductors and printed circuit assemblies)","nitrous oxide","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR5 100",265
"33441A","Electronic capacitors, resistors, coils, transformers, connectors and other components (except  semiconductors and printed circuit assemblies)","nitrous oxide","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR5 20",264
"33441A","Electronic capacitors, resistors, coils, transformers, connectors and other components (except  semiconductors and printed circuit assemblies)","other GHGs","kg CO2e/2018 USD, purchaser price",0.008,"detail","GHG emissions","kg CO2e","IPCC AR4 100",1
"33441A","Electronic capacitors, resistors, coils, transformers, connectors and other components (except  semiconductors and printed circuit assemblies)","other GHGs","kg CO2e/2018 USD, purchaser price",0.008,"detail","GHG emissions","kg CO2e","IPCC AR4 20",2.35027717526513
"33441A","Electronic capacitors, resistors, coils, transformers, connectors and other components (except  semiconductors and printed circuit assemblies)","other GHGs","kg CO2e/2018 USD, purchaser price",0.008,"detail","GHG emissions","kg CO2e","IPCC AR5 100",0.990927007256356
"33441A","Electronic capacitors, resistors, coils, transformers, connectors and other components (except  semiconductors and printed circuit assemblies)","other GHGs","kg CO2e/2018 USD, purchaser price",0.008,"detail","GHG emissions","kg CO2e","IPCC AR5 20",2.39012373263774
"334510","Electromedical appartuses","carbon dioxide","kg/2018 USD, purchaser price",0.044,"detail","GHG emissions","kg CO2e","IPCC AR4 100",1
"334510","Electromedical appartuses","carbon dioxide","kg/2018 USD, purchaser price",0.044,"detail","GHG emissions","kg CO2e","IPCC AR4 20",1
"334510","Electromedical appartuses","carbon dioxide","kg/2018 USD, purchaser price",0.044,"detail","GHG emissions","kg CO2e","IPCC AR5 100",1
"334510","Electromedical appartuses","carbon dioxide","kg/2018 USD, purchaser price",0.044,"detail","GHG emissions","kg CO2e","IPCC AR5 20",1
"334510","Electromedical appartuses","methane","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR4 100",25
"334510","Electromedical appartuses","methane","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR4 20",72
"334510","Electromedical appartuses","methane","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR5 100",28
"334510","Electromedical appartuses","methane","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR5 20",84
"334510","Electromedical appartuses","nitrous oxide","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR4 100",298
"334510","Electromedical appartuses","nitrous oxide","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR4 20",289
"334510","Electromedical appartuses","nitrous oxide","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR5 100",265
"334510","Electromedical appartuses","nitrous oxide","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR5 20",264
"334510","Electromedical appartuses","other GHGs","kg CO2e/2018 USD, purchaser price",0.002,"detail","GHG emissions","kg CO2e","IPCC AR4 100",1
"334510","Electromedical appartuses","other GHGs","kg CO2e/2018 USD, purchaser price",0.002,"detail","GHG emissions","kg CO2e","IPCC AR4 20",2.35027717526513
"334510","Electromedical appartuses","other GHGs","kg CO2e/2018 USD, purchaser price",0.002,"detail","GHG emissions","kg CO2e","IPCC AR5 100",0.990927007256356
"334510","Electromedical appartuses","other GHGs","kg CO2e/2018 USD, purchaser price",0.002,"detail","GHG emissions","kg CO2e","IPCC AR5 20",2.39012373263774
"334511","Navigation instruments","carbon dioxide","kg/2018 USD, purchaser price",0.037,"detail","GHG emissions","kg CO2e","IPCC AR4 100",1
"334511","Navigation instruments","carbon dioxide","kg/2018 USD, purchaser price",0.037,"detail","GHG emissions","kg CO2e","IPCC AR4 20",1
"334511","Navigation instruments","carbon dioxide","kg/2018 USD, purchaser price",0.037,"detail","GHG emissions","kg CO2e","IPCC AR5 100",1
"334511","Navigation instruments","carbon dioxide","kg/2018 USD, purchaser price",0.037,"detail","GHG emissions","kg CO2e","IPCC AR5 20",1
"334511","Navigation instruments","methane","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR4 100",25
"334511","Navigation instruments","methane","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR4 20",72
"334511","Navigation instruments","methane","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR5 100",28
